decade,album
80,03Mx6yaV7k4bsEmcTH8J49
80,3miZDfDnP7SmOXAJXWdFmz
80,2nyDfMhGBwxbpfpyYtnBSJ
80,3PkWTXolCR9RkJrKiAsf55
80,71mmTJdWvpkzQNmVfFbRdN
80,0Y7qkJVZ06tS2GUCDptzyW
80,7AFsTiojVaB2I58oZ1tMRg
80,4sevefzBUFvJYAzijVBQ2a
80,1kmyirVya5fRxdjsPFDM05
80,5nK0vU32lSmcGrglfcOfg8
80,5STvD2F7IQ51f4Cd2y5r3z
80,3wAMdnbT6F7EM1c4mVe6zD
80,42p4dRDB24b9mvBmMb0QR9
80,69RheqEskuIlRLlDTcqIeX
80,0YI9ihAQIC63jyDuP5d6DN
80,2HOl8gDiGGpt7wsIDi9jy5
80,11oR0ZuqB3ucZwb5TGbZxb
80,1aFeiDrW0Yi1dhwAAOFfu7
80,5jNxWuqdnchBjdoKykAsY7
80,2KaB2rHtdBvocspgjm1bnN
80,4dxBNRPePGqky6mIKGAVsr
80,4h2veBvPhM1RazJi8J1Siy
80,2i8QflzkUsxQOhHHCiJiVm
80,267xiIVnif2CUxhbRQk115
80,7CsGFLUg7GJ8FRzMhn3LeK
80,2G3sngedPGHqINO0PNKg90
80,3oTwRmf9prLusQM82wXKrN
80,2glPhGd3WXbnNttSdOOr2e
80,1tsfCTzWkUXX91zDdZslbA
90,3kEtdS2pH6hKcMU9Wioob1
90,1p12OAWwudgMqfMzjMvl2a
90,3tQd5mwBtVyxCoEo4htGAV
90,2AgTKAULjbHpqqtyI53hdp
90,5ceB3rxgXqIRpsOvVzTG28
90,2HTbQ0RHwukKVXAlTmCZP2
90,0aFNb4RDk2hmKKLa0bzXNz
90,4v5x3Oo3UjQ9YmF3hRAip5
90,3OrucS4sHv6Bl9GS4rafEk
90,1IaBCF26OjgYwUCEPaIyC0
90,08Bjvwbg1cFsFfXSdhG23I
90,2Uc0HAF0Cj0LAgyzYZX5e3
90,3AI5kAUjgNtZBwFRi6opDc
90,3k8xoyOXkGgZxUKgpmxz4P
90,7f9KDGqY7X2VLBM5aA66KM
90,05wcY4zcfSawCyoutTTxda
90,6GRzmk9UGL7odxprOPop1Q
90,4k5sb7GI0J55nMSyIHJsXg
90,1cCAb1vN8uUsdfEylVmTLs
90,4hkERQVrmM9JQ9g2eie2tL
90,78Fgb88MY0ECc4GVMejqTg
90,18XFe4CPBgVezXkxZP6rTb
90,3l5AwLKqQ42VJbc5lTuP8G
90,3OR89PVUDdYVpuwQw9kALG
90,5gK2l2LgWY0BA4p9uy27z6
90,0uBm0Bp9aHtt0BOmg4HCjJ
90,3UwGJNvu2bAzjxx25GlqA5
90,5orKg0DkryaNTWJ1DX3Zjb
90,0qbl8aNaCUOvX8HGsZYLfh
90,48kU5gP41TqZEw32Cwhsna
2000,7ycBtnsMtyVbbwTfJwRjSP
2000,2UuvBxV56QWWj2uviGS0up
2000,01FCoGEQ3NFWF4fHJzdiax
2000,3DGQ1iZ9XKUQxAUWjfC34w
2000,3ff2p3LnR6V7m6BinwhNaQ
2000,0cLzuJG2UDa0axMQkF7JR6
2000,2tm3Ht61kqqRZtIYsBjxEj
2000,6t7956yu5zYf5A829XRiHC
2000,0kL3TYRsSXnu0iJvFO3rud
2000,3v2GjFB9V5kHgrOCXn3sI9
2000,3SZr5Pco2oqKFORCP3WNj9
2000,603ZvattcltJ5hpm8nB2Nw
2000,3bF7UefpUmG1BAriPPLLez
2000,5ll74bqtkcXlKE7wwkMq4g
2000,2OnNdRdzqs0Xe6VU2uGdPe
2000,7xJ7jHNu3JNfdnao9xwMho
2000,7eaQqVyq6xzAVgsxSzSP83
2000,2PbWFmysd3j9MEacjjhozx
2000,43uErencdmuTRFZPG3zXL1
2000,0ZSwTSaR9VUe3uYsXNQgub
2000,6oBCrRVCWpqR4YpNIqQRlN
2000,4sk7zSzYdcIetF6t6vO8Rx
2000,04uhhcjGVCHodMgZjXOlye
2000,0BqCQwGFcPXkdNqajk18yS
2000,08QH6uS4BzYcPqeAbpcnhg
2000,4iyCxURICjYcIERJt85C5W
2000,3TfzdrsORJcyaDnee2im8A
2000,7gXuElmegVReY7imkb5bf8
2000,4PrPbmm0gKvaD3rerOXFg8
2000,36TpPkiI90WFVDunVAMSL2
