decade,album
80,1cvyT4p26JXJicEBbHPzvX
80,57LWYtFS2xn5pIDHLqjatU
80,3vuQ0qc1DF5jJ4mz5Thm5J
80,54kAN7Lrdwt8j8EX70RITl
80,5opAMGIf8Hn7xIaTPdHFDv
80,3DdUJUcRBs6ct8omfRb0Pv
80,0OknOYGLQkW3Y29gpqmYrD
80,57FQTvThrTFPrGPAvZCjw6
80,32d7ld2rMvAOWGngAAeq3m
80,10kEW14CpfmiAkXnE5Ic3K
80,5FCNQAQLw46CKYbv0n2H6V
80,0wXylkn9taeEjiiac1S2zU
80,05scjxemxGzGpDDnBUGxQt
80,0fg86qc41YhmzFXaZNOkpj
80,52UtxXOfjs1RzOyS2TKYD8
80,3MXZchrDHZCopIzVTMlcet
80,2Ld5FTT4I7MtnvhzbAR8Yc
80,1cBQA6BENOelWaOJJRUHz5
80,5epYkQqWldhYysHIH9mrmE
90,4UG3kz6qoHtNI1glQ2wdon
90,6l37LVIJzV0GzKzV6Wa4lL
90,0GAqyZFjgaz6V5ozTS0dfW
90,6cKgDS8oVcCNw9EjQf66er
90,64ub4SfdC8wvPjdUXw8QY9
90,088ADlek0T46hHixBg7P8J
90,4r3TaXjF2b1qwCpxjIpW43
90,4ZMkt0tFGjbCXDrnCAwRHq
90,6nmz0ql3fPSeiWkGdQVXme
90,3IIHk2ZLXKWuVAjCbQ9g4Y
90,4CzT5ueFBRpbILw34HQYxi
90,1DptrQHU7CgYR8hNOpYB1W
90,4tIQR0m3PPwybQ32P256IO
90,1sSy8CE6VuloSEzaVcMdkY
90,0vE6mttRTBXRe9rKghyr1l
90,0NzbSqyQ70uJyPRep1Yg6L
90,6nXto9rlPmmhdoUmGMKbtE
90,67kl5m0df6Bn0aSe3g5Ea7
90,1ITncViMKtjFkJnKxZ5Nkg
90,6WqXR9PUGCCQe26QDL5gY3
2000,72ddtidR7JZCZg8mAZJ8g7
2000,13WjgUEEAQp0d9JqojlWp1
2000,77tLJdWFt9hOHYWG7NzBYx
2000,5D2CHiTlb8MXWJsZWXjkZf
2000,3rV1aPkrWyMs6YTvTpSbIY
2000,3ba0maG8hMe6HY9HX4BWNa
2000,5dMmFu9NCxSjDk3ekggogc
2000,59nJxnwyPpMQGIDDjEGFhz
2000,25sYZjutddzUpXNbeQ7bEC
2000,05gKNAgBzLOGmTNVsGtP6p
2000,7fiqvH6O6lAed1gIZWLydx
2000,4rKiBz8pX9zmKuEk4NArfm
2000,5fwYiohuGFqJx34Z4s26jI
2000,2dYpI1jDvEswqGoA3oMzrG
2000,6L0j61jDPGMliS3NrxVgiE
2000,0EMbzFBRoIt0fmTsowZ8Zv
2000,1HT8zTMIromrZOA4wnbGdV
2000,7KG4KPy9S7JfbLaXZlTQRG
2000,7viNUmZZ8ztn2UB4XB3jIL
2000,4ypUuL6bRMFZ0MI6uGc0XT
