,lyrics,label
1,"too black too strong
too black too strong

yo chuck these alley trippers are still frontin' on us
show 'em that we can do this
cause we always knew this haha
yeah boy

bass how low can you go
death row what a brother know
once again back is the incredible rhyme animal
the uncannable d public enemy number one
five-o said “freeze” and i got numb
can i tell 'em that i never really had a gun
but it's the wax that the terminator x spun
now they got me in a cell cause my records they sell
cause a brother like me said well
farrakhan's a prophet and i think you ought to listen to
what he can say to you
what you ought to do is follow for now
power of the people say
make a miracle d pump the lyrical
black is back all in we're gonna win
check it out yeah y'all come on
here we go again

turn it up
bring the noise
turn it up

hey yo chuck they say we too black man bring the noise
yo i don’t understand what they’re sayin'
but little do they know they can get a smack for that man

never badder than bad cause the brother is madder than mad
at the fact that's corrupt like a senator
soul on a roll but you treat it like soap on a rope
cause the beats and the lines are so dope
listen for lessons i'm saying inside music
that the critics are blasting me for
they'll never care for the brothers and sisters
now across the country has us up for the war
we got to demonstrate come on now
they're gonna have to wait till we get it right
radio stations i question their blackness
they call themselves black but we'll see if they'll play this

turn it up
bring the noise
turn it up

hey yo chuck they’re illin' we chillin' bring the noise
yo pe in the house top billin'
yo chuck show 'em what you can do boy

get from in front of me the crowd runs to me
my deejay is warm he's x i call him norm y'know
he can cut a record from side to side
so what the ride the glide much should be safer than a suicide
soul control beat is the father of your rock'n'roll
music for whatcha for whichin' you call a band man
making a music abuse it but you can't do it y'know
you call 'em demos but we ride limos too
whatcha gonna do rap is not afraid of you
beat is for sonny bono beat is for yoko ono
run-dmc first said a deejay could be a band
stand on its feet get you out your seat
beat is for eric b and ll as well hell wax is for anthrax
still it can rock bells
ever forever universal it will sell
time for me to exit terminator x it

turn it up
bring the noise
turn it up

yo they should know by now that they can’t stop this bum rush bring the noise
word up better keep tellin' me to turn it down
but yo flavor flav ain't going out like that

come on
come on
come on now
come on

from coast to coast so you stop being like a comatose
stand my man the beat's the same with a boast toast
rock with some pizzazz it will last why you ask
roll with the rock stars still never get accepted as
we got to plead the fifth you can investigate
no need to wait get the record straight hey
posse in effect got flavor terminator
x to sign checks play to get paid
you got to check it out down on the avenue
a magazine or two is dissing me and dissing you
yeah i'm telling you

ay yo griff get the s1w
we got to handle this
we ain’t goin' out like that
yo man straight up on the columbo tip
we can do this like brutus
cause we always knew this you know what i'm sayin'
there's just one thing that puzzles me my brother
what's wrong with all these people around here man
is there clockin'
is there rockin'
is there jockin'",1
2,"flavor flav
don't
don't don't
don't don't
don't don't

rufus thomas
now here's what i want y'all to do for me

chuck d and flavor flav
back
caught you looking for the same thing
it's a new thing check out this i bring
uh oh the roll below the level 'cause i'm living low
next to the bass c'mon turn up the radio
they claiming i'm a criminal
but now i wonder how some people never know
the enemy could be their friend guardian
i'm not a hooligan i rock the party and
clear all the madness i'm not a racist
preach to teach to all 'cause some they never had this
number one not born to run about the gun
i wasn't licensed to have one
the minute they see me fear me
i'm the epitome a public enemy
used abused without clues
i refuse to blow a fuse
they even had it on the news

flavor flav
don't believe the hype
don't don't don't
don't believe the hype
don't
don't don't don't
don't believe the hype

chuck d and flavor flav
yes was the start of my last jam
so here it is again another def jam
but since i gave you all a little something that i knew you lacked
they still consider me a new jack
all the critics you can hang 'em i'll hold the rope
but they hope to the pope and pray it ain't dope
the follower of farrakhan
don't tell me that you understand until you hear the man
the book of the new school rap game
writers treat me like coltrane insane
yes to them but to me i'm a different kind
we're brothers of the same mind unblind
caught in the middle and not surrendering
i don't rhyme for the sake of riddling
some claim that i'm a smuggler
some say i never heard of ya a rap burglar
false media we don't need it do we?
it's fake that's what it be to ya dig me?
yo terminator x step up on the stand
and show these people what time it is boy

flavor flav
don't don't don't don't
don't believe the hype
don't don't don't don't
don't believe the hype
don't believe the hype
don't believe the hype
don't don't don't don't
don't believe the hype

chuck d flavor flav and harry allen
don't believe the hype it's a sequel
as an equal can i get this through to you
my 98 booming with a trunk of funk
all the jealous punks can't stop the dunk
coming from the school of hard knocks
some perpetrate they drink clorox
attack the black because i know they lack exact
the cold facts and still they try to xerox
the leader of the new school uncool
never played the fool just made the rules
remember there's a need to get alarmed
again i said i was a time bomb
in the daytime radio's scared of me
'cause i'm mad plus i'm the enemy
they can't come on and play me in prime time
'cause i know the time 'cause i'm getting mine
i get on the mix late in the night
they know i'm living right so here go the mike sike
before i let it go don't rush my show
you try to reach and grab and get elbowed
word to herb yo if you can't swing this
learn the words you might sing this
just a little bit of the taste of the bass for you
as you get up and dance at the lq
when some deny it defy it i swing bolos
and then they clear the lane i go solo
the meaning of all of that some media is the wack
as you believe it's true
it blows me through the roof
suckers liars get me a shovel
some writers i know are damn devils
for them i say don't believe the hype
yo chuck they must be on the pipe right?
their pens and pads i'll snatch 'cause i've had it
i'm not a addict fiending for static
i'll see their tape recorder and i grab it
no you can't have it back silly rabbit
i'm going to my media assassin
harry allen i gotta ask him
yo harry you're a writer are we that type?
don't believe the hype

rufus thomas
now here's what i want y'all to do for me

flavor flav
don't believe
don't don't
don't believe the hype
don't believe
don't don't
don't believe the hype

chuck d and flavor flav
i got flavor and all those things you know
yeah boy part two bum rush the show
yo griff get the green black and red and
gold down countdown to armageddon
'88 you wait the s1's will
put the left in effect and i still will
rock the hard jams treat it like a seminar
reach the bourgeois and rock the boulevard
some say i'm negative but they're not positive
but what i got to give

flavor flav and chuck d
the media says this?
yo don't believe that hype red black and green
they got to be beaming that pipe you know what i'm saying you know what i mean
yo them megas got 'em going up to see captain kirk
like a jerk and they outta work
let me tell you a little something man
a lot of people on daytime radio scared of us
because they too ignorant to understand the lyrics of the
truth that we pumping into them clogged up brain cells
that just spun their little wooden skulls they call caps
you know what i'm saying?
but the s1s'll straighten it out quick fast in a hurry
don't worry flavor vision ain't blurry you know what i'm saying?
yo terminator x

flavor flav
don't
don't believe
don't believe the hype
don't
don't believe
don't believe the hype
don't believe the hype
don't believe the hype
don't
don't believe
don't believe the hype",1
3,"i guarantee you no more music by the suckas
no more music by the suckas
no more music by the suckas

yo man what do he mean by suckas man?
yo he only tryin'-a put a black guy in a gang
but yo we ain't gonna let you put a black guy in a gang boy
you know what i'm sayin'?
now we come to the payoff
yeah boooooyeee ha ha
cold medina cold medina
rockin' the beat to the strenf
yeah boy i got a solo boy
that's right flava goin' solo
whatch'all know about that?
yo we gonna kick the flavor like this
yo bust this out

i'm lampin' i'm lampin' i'm cold cold lampin'
i got loowies boy i'm not trampin'
i just came from the crib you know
i'm on the go throw your tank into metro
live lyrics from the bank of reality
i kick the flyest dope maneuver technicality
to a dope track you wanna hike get your backpack
get out the wack sack
i'm in my flav-mobile cold lampin'
i took the g upstate cold campin'
to the poconos we call the hideaways
a pack of franks and a big bag of frito lays

flava flav on a hype tip
i'm your hype drink come take a big sip
i'm in position you can't play me out the pocket
i'll take the dopest beat you got and i'll rock it
like chocolate even vanilla
chocolate strawberry -- sarsparilla
flavors are electric try me get a shocka
didn't i tell you leave flavor flav alone knocka?
a clock on my chest prove i don't fess
i'm a clocka rocka rockin' with the rest
flavor in the house by chuck d's side
chuck got the flavor flav don't hide
pe crazy crazy pe
makin' crazy loowies for the shoppin' spree
you're eatin dirt 'cause ya like gettin' dirt from the graveyard
you put gravy on it
then you pick your teeth with tombstone chips
casket cover clips dead women hips you do the bump with -- bones
nuttin' but love bones
lifestyles of the livin' dead
first ya live then you're dead
died tryin' to clock what i said
now i got a murder rap
'cause i bust ya cap with flava pure flava

we got magnum brown soothki valoothki
super-cala-fragi-hesti-cala-goothki
you could put that in ya don't-know-whatcha-said book
took-muk-yuk-duk-wuk
shinavative ill factors by the flava flav
come and ride the flavor wave
in any year or any given day
what a brotha know what do flavor say?
why do the record play that way?
primetime-arily in the day
right now this radio station is busy -- brain-knowledgeably wizzy
honey drippers you say you got it
you ain't got no flava and i can prove it
flavor flav the flav of all flavor
onion and garlic french-fried potatas
make your breath stink breath fire
make any onion the best cryer
i know it sounds crazy but it fits perfect
peter perfect pimped a perfect peter
honey dripper sucker sipper big dipper sucker dripper
drippin' suckers till it's goin' outta style
creatin' somethin' for the flavor flav pile
flava flav the flava of the pile
lampin' boy medina style
kickin' the flava gettin' busy
ya goin' out i think you're dizzy
i think ya hungry 'cause ya starvin' for flava
flavor most put it on your toast
eat it and taste it and swallow it down
imperial flavor gives you the crown
of the king called flava the king of all flavors
rolls and rolls and rolls of life savers
flavor flav is in everything you eat
'cause everythin' ya eat got flava
flavor flav is the first taste you get in the mornin'
ya breakfast is the flava
in between that ya lunch in between that ya dinner
in between that the midnight flava
that's right boy",1
4,"go go go go go go
take a look at his style
take a check of the sound
off the record people keep him down
trick a chick in miami
terminator x packs the jams
whow gives a fuck about a goddamn grammy
anyway and i say the d's defending the mike
yeah who gives a fuck about what they like
right the power is bold the rhymes politically cold
no judge can ever budge or ever handle his load
yes the coming is near and he's about to become
the one and only missionary lord son of a gun
going on and on back trackin' the whack
explain the knack y'all for the actual fact c'mon

terminator x go off 4x
go go go go go go

he goes on and on till he reaches the coast
tired wired of his own race playing him close
understand his type of music kills the
plan of the klan
you know the pack attack the man
with the palm of his hands
police wild beasts dogs on a leash
no peace to reach - that's why he's packin' his black piece
terminator x yellin' with his hands
damn almighty rulin ready to jam
but his cuts drive against the belt
sheet he's bad by his damn self
yeah his one job cold threatens the crowd
the loud sound pound to make brothers proud

terminator x go off 4x
go go go go go go

gettin' small makin' room for it all
flavors on the phone so he can
make the call
i know you're clockin' the enemy
you should be clockin' the time
checkin' records i'm wreckin' you
for defecting my rhyme
no provokin' no jokin' you know the stage is set
if you're thinkin' i'm breakin'
he ain't rocked it yet
my education is takin' you for a long ride
i'll have you brain slip and do the slide
glide into infinity it's infinite
with your hands in your pockets
i know your money is spent
like this like that butter for the fat
if you kill my dog i'ma slay your cat
it's like that y'all can you handle it son
i'm public enemy number one

terminator x go off 4x
go go go go go go",1
5,"1 type verse

take that ha ha yeah boy
best for your face
take that ha ha yeah boy
best for your face

2 type verse

take that best best for you face
best for your face best for your face
take that ha ha yeah boy
best for your face

3 type verse

take that ha ha yeah boy
best for your face
take that ha ha yeah boy
best for your face

4 type verse

take that ha ha take that
take that ha ha take that
take that ha ha take that
best best best best for your face",1
6,"they claim we're products from the bottom of hell
'cause the black is back and it's bound to sell
picture us coolin' out on the fourth of july
and if you heard we were celebrating that's a world-wide lie

yo chuck the fat generals man
trying to pull a 226 on you g'
yo man show 'em what you got

this style seems wild
wait before you treat me like a stepchild
let me tell you why they got me on file
'cause i give you what you lack
come right and exact
our status is the saddest
so i care where you at black
and at home i got a call from tony rome
the fbi was tappin' my telephone
i never live alone
i never walk alone
my posse's always ready and they're waitin' in my zone
although i live the life that of a resident
but i be knowin' the scheme that of the president
tappin' my phone whose crews abused
i stand accused of doing harm
'cause i'm louder than a bomb
c'mon c'mon louder etc

i am the rock hard trooper
to the bone the bone the bone
full grown - consider me - stone
once again and
i say it for you to know
the troop is always ready i yell 'geronimo'
your cia you see i ain't kiddin'
both king and x they got ridda' both
a story untold true but unknown
professor griff knows
yo i ain't no toast
and not the braggin' or boastin' and plus
it ain't no secret why they're tappin' my phone although
i can't keep it a secret
so i decided to kick it yo
and yes it weighs a ton
i say it once again
i'm called the enemy - i'll never be a friend
of those with closed minds don't know i'm rapid
the way that i rap it
is makin' 'em tap it yeah
never servin' 'em well 'cause i'm an un-tom
it's no secret at all
'cause i'm louder than a bomb

cold holdin' the load
the burden breakin' the mold
i ain't lyin' denyin' 'cause they're checkin' my code
am i buggin' 'cause they're buggin' my phone - for information
no tellin' who's sellin' out - power buildin' the nation so
joinin' the set the point blank target
every brothers inside - so least not you forget no
takin' the blame is not a waste here taste
a bit of the song so you can never be wrong
just a bit of advice 'cause we be payin' the price
'cause every brother man's life
is like swingin' the dice right?
here it is once again this is
the brother to brother
the terminator the cutter

goin' on an' on - leave alone the grown
get it straight in '88 an' i'll troop it to demonstrate
the posse always ready - 98 at 98
my posse come quick because my posse got velocity
tappin' my phone they never leave me alone
i'm even lethal when i'm unarmed
'cause i'm louder than a bomb

'cause the d is for dangerous
you can come and get some of this
i teach and speak
so when its spoke it's no joke
the voice of choice
the place shakes with bass
called one for the treble
the rhythm is the rebel
here's a funky rhyme that they're tappin' on
just thinkin' i'm breakin' the beats i'm rappin' on
cia fbi
all they tell us is lies
and when i say it they get alarmed
'cause i'm louder than a bomb",1
7,"caught now in court 'cause i stole a beat
this is a sampling sport
but i'm giving it a new name
what you hear is mine
pe you know the time
now what in the heaven does a jury know about hell
if i took it but but they just look at me
like hey i'm on a mission
i'm talkin' 'bout conditions
ain't right sittin' like dynamite
gonna blow you up and it just might
blow up the bench and
judge the courtroom plus i gotta mention
this court is dismissed when i grab the mike
yo flave what is this?

get hyped c'mon we gotta
gather around - gotcha
mail from the courts and jail
claims i stole the beats that i rail
look at how i'm livin' like
and they're gonna check the mike right? - sike
look at how i'm livin' now lower than low
what a sucker know
i found this mineral that i call a beat
i paid zero
i packed my load 'cause it's better than gold
people don't ask the price but its sold
they say that i sample but they should
sample this my bit bull
we ain't goin' for this
they say that i stole this
can i get a witness?

understand where we're goin'
then listen to this plus my roland
comin' from way down below
rebound c'mon boost up the stereo
snakes in the morning
wake up scared afraid of my warning
they claim that i'm violent
now i choose to be silent
can i get a witness?

c'mon get wit' it
something ain't right i got to admit it
made me mad when i was on tour
that i declared war on black radio
they say that i planned this
on the radio most of you will demand this
won't be on a playlist
bust the way that i say this no sell out

you singers are spineless
as you sing your senseless songs to the mindless
your general subject love is minimal
its sex for profit
scream that i sample
for example tom you ran to the federal
court in us it don't mean you
yeah 'cause they fronted on you
the posses ready terminator x yes he's ready
the s1ws griff are you ready?

they say that i stole this
i rebel with a raised fist can we get a witness?",1
8,"freedom is a road seldom traveled by the multitude

chuck d and flavor flav samples repeat throughout

public enemy number 1

show 'em whatcha got

ava muhammad

the same god that gave wisdom to marcus garvey
the same god that gave wisdom to adam clayton powell
the same god that gave wisdom to stephen biko- stephen biko
the same god that gave wisdom to rosa parks
gave strength to martin luther king to malcolm x
the same god that gave wisdom to nelson mandela
the same god-
the same god that gave wisdom to winnie mandela
stay strong sister
brothers and sisters please join with me to welcome and listen here",1
10,"here it is
bammm
and you say goddamn
this is the dope jam
but lets define the term called dope
and you think it mean funky now no
here is a true tale
of the ones that deal
are the ones that fail
yeah
you can move if you wanna move
what it prove
it's here like the groove
the problem is this - we gotta' fix it
check out the justice - and how they run it
sellin' smellin'
sniffin' riffin'
and brothers try to get swift an'
sell to their own rob a home
while some shrivel to bone
like comatose walkin' around
please don't confuse this with the sound
i'm talking about bass

i put this together to
rock the bells of those that
boost the dose
of lack a lack
and those that sell to black
shame on a brother when he dealin'
the same block where my 98 be wheelin'
and everybody know
another kilo
from a corner from a brother to keep another -
below
stop illin' and killin'
stop grillin'
yo black yo we are willin'
4 5 o'clock in the mornin'
wait a minute y'all
the fiends are fiendin'
day to day they say no other way
this stuff
is really bad
i'm talkin' 'bout bass

yo listen
i see it on their faces
first come first serve basis
standin' in line
checkin' the time
homeboys playin' the curb
the same ones that used to do herb
now they're gone
passin' it on
poison attack - the black word bond
daddy-o
once said to me
he knew a brother who stayed all day in his jeep
and at night he went to sleep
and in the mornin' all he had was
the sneakers on his feet
the culprit used to jam and rock the mike yo
he stripped the jeep to fill his pipe
and wander around to find a place
where they rocked to a different kind of bass",1
11,"i got a letter from the government
the other day
i opened and read it
it said they were suckers
they wanted me for their army or whatever
picture me given' a damn - i said never
here is a land that never gave a damn
about a brother like me and myself
because they never did
i wasn't wit' it but just that very minute
it occurred to me
the suckers had authority
cold sweatin' as i dwell in my cell
how long has it been?
they got me sittin' in the state pen
i gotta get out - but that thought was thought before
i contemplated a plan on the cell floor
i'm not a fugitive on the run
but a brother like me begun - to be another one
public enemy servin' time - they drew the line y'all
to criticize me some crime - never the less
they could not understand that i'm a black man
and i could never be a veteran
on the strength the situation's unreal
i got a raw deal so i'm goin' for the steel

they got me rottin' in the time that i'm servin'
tellin' you what happened the same time they're throwin'
4 of us packed in a cell like slaves - oh well
the same motherfucker got us livin' is his hell
you have to realize - what it's a form of slavery
organized under a swarm of devils
straight up - word'em up on the level
the reasons are several most of them federal
here is my plan anyway and i say
i got gusto but only some i can trust - yo
some do a bid from 1 to 10
and i never did and plus i never been
i'm on a tier where no tears should ever fall
cell block and locked - i never clock it y'all
'cause time and time again time
they got me servin' to those and to them
i'm not a citizen
but ever when i catch a c-o
sleepin' on the job - my plan is on go-ahead
on the strength i'ma tell you the deal
i got nothin' to lose
'cause i'm goin' for the steel

you know i caught a c-o
fallin' asleep on death row
i grabbed his gun - then he did what i said so
and everyman's got served
along with the time they served
decency was deserved
to understand my demands
i gave a warnin' - i wanted the governor y'all
and plus the warden to know
that i was innocent -
because i'm militant
posing a threat you bet it's fuckin' up the government
my plan said i had to get out and break north
just like with oliver's neck
i had to get off - my boys had the feds in check
they couldn't do nothin'
we had a force to instigate a prison riot
this is what it takes for peace
so i just took the piece
black for black inside time to cut the leash
freedom to get out - to the ghetto - no sell out
6 c-os we got we ought to put their head out
but i'll give 'em a chance 'cause i'm civilized
as for the rest of the world they can't realize
a cell is hell - i'm a rebel so i rebel
between bars got me thinkin' like an animal
got a woman c-o to call me a copter
she tried to get away and i popped her
twice right
now who wanna get nice?
i had 6 c-os now it's 5 to go
and i'm serious - call me delirious
but i'm still a captive
i gotta rap this
time to break as time grows intense
i got the steel in my right hand
now i'm lookin' for the fence

i ventured into the courtyard
followed by 52 brothers
bruised battered and scarred but hard
goin' out with a bang
ready to bang out
but power from the sky
and from the tower shots rang out
a high number of dose - yes
and some came close
figure i trigger my steel
stand and hold my post
this is what i mean - an anti-nigger machine
if i come out alive and then they won't - come clean
and then i threw up my steel bullets - flew up
blew up who shot
what who the bazooka was who
and to my rescue it was the s1ws
secured my getaway so i just gotaway
the joint broke from the black smoke
then they saw it was rougher thatn the average bluffer
'cause the steel was black the attitude exact
now the chase is on tellin' you to c'mon
53 brothers on the run and we are gone",1
