,lyrics,label
0,"ah yeah
we gon' pump this up one time
as we set it off a little like this kick it
pump it up now it's a big daddy thing
as we send this out to new york city
can't forget the posse down in philly
also in detroit it's a big daddy thing
chicago atlanta ga
sendin this out to miami it's a big daddy thing
tampa can't forget virginia and north carolina
la and oakland it's a big daddy thing
and the rest of the world as we go a little somethin' like this
it's a big daddy thing

let it rain let it rain to be put it pain
with nothin' to gain under the wrath of kane
cause you can't maintain i drained every brain
to leave a stain plain to remain in my lane
or path or road until the next one be sewed
that the b-i-g d-a-double-d-y explode
just like a bomb in vietnam so hit the alarm
or be funky like a underarm
and allow me to show how the microphone should flow
now competition bow to me like a buddha
the teacher the tutor
they come a dime a dozen but the kane look cuter
and i ain't about that slouchin or crabbin
so save it -- cause that's one thing i ain't havin'
because the purpose i serve is to please ya
rhymes will ease ya like milk of magnesia
so bust a pimp without a limp
and i crush any wimp that would try to attempt to umm
get loose i put a boost and used to chill
the comp to kane i picked beetlejuice

big daddy thing 2x

i'm just that ruthless to leave ya toothless
'cause you're useless makin' up excuses excuses
so never touch tap tangle or tamper
a fearless fly foe'll get slapped with a pamper
'cause i can dig in your face like root canal
but i'ma chill won't even dispute you now
actin' wild just ain't my style
cause only the live will be movin the crowd but see
quiet as kept not like a starter you
but i can roast an mc like a barbecue
in the dead zone you shouldn't have left home
steppin to the man now get the head flown
i bring the terror horror there's no tomorrow
child you shouldn't even bother
to press up and get broken like a lee nail
so let me school ya plus scoop your female
just like a jiggalo but i'm much bigger though
i'm like a hitman pullin the trigger slow
and smooth to the groove with lyrics that sooth
and improve with every move that's why you've
been enhanced by the mentally divine
so play football and let's go the nine
shorts i take none 'cause i ain't the one
in eighty-nine there's damage bein done
and for you to diss me will be very risky
'cause i make this be as strong as whiskey
to break and make my foes dispose in force
so y'all can see how me the kane will just reign
superior 'cause i ain't even hearin ya
save the yang 'cause it's a big daddy thang

big daddy thing 4x then cut and scratched to end

and this one here goes out to my man mad money murph
can't forget big sha big therm
and also i got to say whassup to my man horace
got nice and smooth in the place to be
mack daddy nick know what i'm sayin'?
can't forget my man ant live
and of course the one and only prince paul peace",1
1,"here comes the conquering brother that fathoms and never ceases
violators pick up the pieces uh
that are left behind as you're left to find
the fury of the five fingers of death are mine
rippin' on the microphone receitin' poem
givin' competition a big daddy syndrome
some step up mmm none kept up mmm
they rap a brief moment and then shut up
lips are sealed because all of this is real
i'm not about frontin' i tell the real deal of society what
so how we livin'
like a turkey on thanksgiving or like robin gibbons?
not to offend
i just want you to comprehend every message i send tell 'em
'cause i don't understand i have to wonder damn
how could this lifestyle be fun to man
to see a brother gettin' paid undercover
sellin' drugs to one another
'cause all the glamour you get is miscillaneous
and all the product you sell is real dangerous
like um um let's say un poison
destruction to all your own boys and girls who like to buy and give it a try
admire and can't deny the high that's why they soon die
these are the games that a fool would play today
for our own kind to decay
no sign of brotherly love
just scavengers in search of

another victory cut and scratched

when i'm ridin' in my volvo cops harass me
they never ride past me they hound me like lassie
wantin' to give me a summons or a ticket
huh i got a place for them to stick it kick it
they can't understand to see a black man
drivin' a car that costs 25 grand
the first thing they say is where'd you steal her?
and then they assume that i'm a drug dealer
huh that just makes me wanna laugh
'cause now i'm a star and your son got my autograph
so all the cops on the highway gettin' me
my name ain't kieth so could you please stop sweatin' me
so i can flow and go on so on and so on
to all the jams cee throw on
reachin' a summit as you learn from it
a lesson taught from yours truly so here cometh
the royal majesty others have to be
fully prepared though they still won't last with me
so when you hope to hang or even handle
i'll show the meaning of power and just cancel period
out of order conquer and slaughter
you're comin' up shorter boy you'll need more to
compete 'cause the heat is deep in concrete
defeat bring up the fleet flee 'fore we meet
or stay away puttin' new rhymes on layaway
then come get this when you're ready for business
'cause ah yeah i'm with this i'm ready
yo mister cee what is this?

mc's and enemies i freeze at 32 degrees
because they can't drop rhymes like these
competition never saw none done
so pay attention as i mention the 411
just the other day i heard a brother say
taxi cabs don't even come my way
they all be afraid they won't get paid
so they zoom right past and pick up a lighter shade
and if they stop the first thing they want
no more than two people and the money up-front
treatin' me like i'm some type of thug
it might sound bugged but they don't wanna get mugged
who's in the right or wrong? it's time to unite along
the righteous with a walk in success and be strong
instead of lookin' for someone to beef with
a brother like the big daddy kane is peace with
rappers of today like kid'n'play
hey even my man ll cool j
stetsasonic and epmd
public enemy and bdp
salt 'n' pepa 'cause we can't sever never
wheihter whatever we better stand together
that means unite not fightin' or fussin' or cussin'
save all the base for the pipe and start lovin'
one another 'cause separation is a flaw
so endure for more and stop lookin' for

repeat chorus till end",1
2,"the kiss of death on a rap pick
then you get a slap quick so guard it with chapstick
in other words protect and hold your own
it only takes one punch to get the head flown
fists of fury suckers get buried
cause the kane got more spice than curry
i am the flavor down on paper
and nothing could save ya from catchin the vapors
rhymes that'll sting your face like a quick jab
and i'm rubbin 'em in just like vicks say i'm
captivatin dominatin innovatin illustratin fascinatin
motivatin elevatin terminatin mutilatin
rhymes they're worth their weight in
gold bold never sold to a bidder
that claim to glitter you're so bitter like kitty litter
as for damage don't tell me what another do
'cause i quote that i'm r-a-w
so make room cause fighters are doomed
try to consume and make your own tune
a grave from a casket a tisket a tasket
you're rhymes out of basket boy you get your ass kicked
for frontin like you hittin hard
when your arms are too short to box with god
so don't even touch 'cause i come with too much
address and bless any mic that i clutch
and for a rapper to challenge my freestyle
he must be senile and that's why meanwhile
back at the ranch
there goes the asiatic chosen one that's expandin with a new branch
so many slept on the nonchalant act
now wake up sucker this is mortal combat

i seize and freeze mc's with these degrees
put me to my knees or at ease chillllld please
i break it down to bring on the next act
rappers are so full of shit they need ex-lax
so stop griffin your mind is driftin
prepare yourself 'cause i get swift and
captivate the crowd but you can't understand
at times i gotta say to myself god damn
as i get hot and still be gettin' warmer
and i don't have beef with no other performer
keep to myself never bother another
but if a rapper tries to diss i crush the motherfucker
frontin mc's that be tryin' to riff
need to save it and don't even play with
me when i react like a volcano eruptin
i step to you and say now what's up? then
every word'll be just like surgery
cuttin' you open so rush to emergency
or even bow to your knees and below
or get played like a game of nintendo
j-o-k-e-s ain't my style
i ain't a child that's why i don't smile
i combine a line designed to find behind the mind
so devine the other rappers resign
as i go on from night to morn
beginning to end from knowledge to born
whenever rappers are lookin' for static
looks like a job for king asiatic
n-e send me competitors
then again it might just be better to
just slow down you don't wanna throwdown
i get busy get you dizzy like a merry-go-round
feel the wrath of a big daddy raw rhyme
and competition prepare for wartime
be alert for where i drop the bomb at
as i destroy you with mortal combat

i roll so bold with soul control the whole patrol
of folders molders towin black gold
so let it be said let it be read
'cause i lead ahead of others who rhymes are old as pro-keds
tryin' to diss the big daddy repetoire
moi??
you steady screamin out a antique segment wrote
as i just play 'em like a pregant roach and stomp em
for tryin' the forbidden
your rhymes ain't hittin boy you won't be gettin'
none of or in front of cause every one of
my adversaries lack you little son of
o-bit-uary column and read your name
if you ever try to step to the big daddy kane
so any claimin or aimin to be champion
against me? psssh can't be one
i rank supreme and it's a rapper's dream
to scheme and fiend for my technique but redeem
cause there's only room for one teacher
wise words from a wise man'll reach ya
i teach freedom justice and equality
peace to the brothers and sisters that follow me
plenty poisoned minds of the people are ours
slaves from mental death in power
that's the reason before i drop this bomb
i say peace to the nation of islam",1
3,"on and on and on and on
me say the beat don't stop until the break of dawn
nor does the growth of our young world
yes the children be buildin each boy and girl
cause you are the cream of the planet earth
the new birth now take that for what it's worth
and give the child room to blossom and bloom
livin' large it's your destiny to consume
to take flight and ignite to a brand new height
cause that's your goal in life - am i right? yeah
to start reachin' come on each and every
single one of y'all comprehend what i'm teachin
i said listen up listen up listen up youngster
learn from a lesson that the big daddy brung ya
it's nothin' but knowledge i shall bring to you
and i'm not mr rogers or captain kangaroo but i know",1
4,"minister farrakhan
so out of the mercy of allah
and the law written in our nature
we call an individual into existence
and when that individual i make no apologies
for what i'm about to say

big daddy kane
rough rugged and real you're on standstill
to obey okay so let the man build
words of rapture that you have to capture
and i just slapped ya
with the hand full of literature
that's dope def fresh hype choice smooth and raw
rappers i replace rub out and erase
competition you must be on freebase
smokin' or chokin bound to be broken
man get your damn hands off the mic that i'm chokin
'cause i got a strangehold
you're still cold off the road for the role you stole
rhymes that you yell out but you did sell out
crossed-over lost over here now get the hell out
i'm not a pop star rock'n'roller
i'm a rebel blessed able to hold a
mic like a hammer and drop grammar
treat a rapper like a wrestler and body slam him
those who dispute get treated just like a prostitute
they get the boot and played like a flute
so just play mute don't even whisper
open your mouth to speak and i'm diss ya
ragtag and dog put you in the morgue
because you're petty confetti and not ready to rock steady
in other words you're half-steppin'
tiptoein get goin' because my weapon
is not a nine an uzi or a shotgun
but when it come to hype rhymes i got one
just like the album is still the same
_long live the kane_ ain't a damn thing changed
i still get ill and kill at will and build the skill
to fill your grill so don't tell me you're real
we sample beats you sue and try to fight us
tchk maaaan you still be home with arthritis
if we didn't revive em bring back alive
old beats that we appreciated you wouldn't survive
you'd be another memory to us
ashes to ashes and dust to dust
so understand the way that i live
that's positive - and the message i got to give
it's a benefit for you and me
i'm talkin' bout peace
the chosen one that has turned a new leaf
i got gold teeth and they don't chew beef
no pork on my fork strictly fish on my dish
the kane fallin' victim? tchk sucker you wish
i flow like water slaughter
put you out of order floored ya
rappers are raggin and taggin and snaggin and braggin
to be on the bandwagon but i'm the last dragon
with the knack to attract the pack
so just get back i'm young gifted and black

and just go with the flow you know
in the place to be with my man marley marl
sendin this out to divine force
can't forget my main man heavy d
and to my good brothers epmd
and to my man ice-t over on the west coast
can't forget kool moe dee busy bee mc lyte the audio two
i say peace",1
5,"well excuse me take a few minutes to mellow out
big daddy kane is on the mic and i'ma tell about
a minimum length of rhymes of strength
and power so listen to the man of the hour
flow and go to a slow tempo and you know
sing hoe swing low then yo the show
will go on as i perform
transformin on stage like a decepticon
but i'm not animated like a cartoon
i'm for real shootin lyrics like a harpoon
across the crowd the listeners the spectators
so let's groove with the smooth operator",1
9,"here we go here we go on the smooth side
let's take a ride in stride and i'm the guide
with the source and of course - i don't wanna be the king or boss
i just wanna get my point across
'cause it's time to organize and open your eyes
realize we on the rise
to the climax time to take charge
whoever said we can't live large?
to seek out fortune without distortion
and stop livin' for just a small portion
there is a move to make we gotta take a chance to break
all chains become awake
cause this is the new way to be proud and brave
and i ain't goin' out like a slave
in eighty-nine i'm livin' like a champ
step out my face talkin' 'bout a food stamp
child please put it at ease
freeze it's time to get paid in times like these
we can't take shorts or take a loss
so take it from the kane and go for yours because

uh-huh
there comes a time where we can't be in the rear
we gotta step up front to get our share
make the change 'cause we're not inferior
for example there was a black ms america
let's start to do for ourself
we can't depend on no one else or the board of health
so hold your own or else you're gonna find
that if you play off of crime you go out like aunt jemimah
we gotta put it in overdrive and strive to survive


to stay alive that's the reason i've
came to motivate us to the length
effort of strength makes you grow inch by inch
takin' no mediums or small at all
we gotta walk not crawl or else take a fall
what used to be just hopes and thoughts
are now in effect and we can't take shorts because

swing on that right there pump it up here we go
uh-huh uh-huh pump it up here we go
one more thing
let's unite together we can't sever never
no matter what or what-ever
because we need unity to find justice
just i see equality so bust this
take a stand and command to demand what's grand
i know we can if we just understand
the true way of livin' that was really meant for us
so one more time kick the chorus

ah keep it goin' y'all
a prince paul rulin 'em all y'all
a prince paul schoolin 'em all y'all
and tony tony tony tony
and tony tone never leavin' the girls alone
tony tone never leavin' the girls alone
and you don't stop and you don't stop
and you don't stop and you don't stop",1
10,"anything goes when it comes to hoes they go
pimpin' ain't easy pimpin' ain't eeeeeee-zy 6x

greg nice
one-two-three-four to five-six-seven
eight nine-ten then ya got eleven
twelve thirteen start your age
fourteen-fifteen-sixteen the pubic stage
like an apple like a cherry like a peach like a plum
better get off the virgin before i cuuuuum
pick up my pants and thump and thump
i think i'll call up tootie she'll give me some
watch out watch out i'm drippin' live scum
i say damn i love the way i make my posse roll-a
'specially if the hoochie's on birht control-a
lift her up just like a pick up truck
then i sat her down and we started to fuck
made whoopie made whoopie made whoopie yo-o-o-o-o
i hope this time i don't make a cookie
brothers everywhere be callin' me a rookie
two from the greg nice from the o-o-old schoooooool
but bullshit i ain't no fool 'cause

anything goes when it comes to hoes they go
pimpin' ain't easy pimpin' ain't eeeeeee-zy 6x

big daddy kane
well i say extra extra
here is a bachelor comin' straight at ya
i see trim and bag it take it home and rag it
the big daddy law is anti-faggot
that means no homosexuality
what's in my pants'll make you see reality
and if you wanna see a smooth black casanova -- bend ovah
'cause i don't half-step when it comes to broads
the k-a-n-e'll go the whole nine yards
there's no time for coversation my dear
[moan] is all i wanna hear
so let's make a move as i get smooth
'cause the purpose i serve is to soothe
i'm tall dark and handsome and all that junk
even white girls be sayin' ooh kane's a hunk
even puerto rican girls be callin' me papi
some try to copy but they look sloppy
so imitators who wanna step to a
brother like me lick my manure

anything goes when it comes to hoes they go
pimpin' ain't easy pimpin' ain't eeeeeee-zy 6x

smooth b
i'm just goin' and i'm flowin' like a gigolo
and when i used to be with scott i was a super-hoe
but now i'm coolin' with kane and greg n-i-c-e
and if the girlies want my tip they gotta pay a fee
i love bonin' and all my friends they will agree
that when it comes to pimpin' hoes it ain't easy
first name smooth last name b
when i'm bonin' a girl i make her feel heavenly
i like to make 'em wait and then make 'em beg
and when i take off my clothes the i form a third leg
they rub it with oils and suck it with ice
now i'm sweating my mind is in paradise


anything goes when it comes to hoes they go
pimpin' ain't easy pimpin' ain't eeeeeee-zy 6x

scoob lover
tip-tip-toein' scoob lover's out hoein'
braggin' to the fellas how my flattop was growin'
buyin' drinks for the ladies money i was blowin'
right in front of me mmm not even knowin'
a brown-skinned cutie big plump booty
nametag earrings readin' off tootie
bullseye bing the girl of my dreams
from my eyesight that was what it seemed
i said uh come a little bit closer
to scoob that night choice guy she said hi
hi hi i've really been wantin' to meet you
i just got paid and i'll be very glad to treat you
how 'bout dinner a salisbury steak?
i said sorry honey-dip but i already ate
so i nudged the other girlies off my shoulder
went for tootie 'cause the girl was much older
east to the benz i slowly walked
clearing out my throat so i cold start my smooth talk
sex in my mind i was sure of it
i wanted to tax that ass like the government

anything goes when it comes to hoes they go
pimpin' ain't easy pimpin' ain't eeeeeee-zy 6x

ant live
well it's friday night ain't a damn thing funny --
bitch better have my money",1
11,"yo tone play me some more pimp shit

when i was living my house this morning the young lady i was wed she said to me big daddy don't go big daddy please pleasee don't go
i said baby i got to go take care of businnes and you know the romance without finance is a damn nuisance they don't recognize",1
12,"

my my my my my my my my my
this must be what you call love at first sight
when you commit yourself to someone
and don't even know wrong from right wrong from right
looks like my feelings been united with you baby
but maybe just a little bit too soon
i realized that hearts get broken sweetheart
i couldn't stand the wound can't stand the wound
so i put mines in your hands girl
and it's all yours my dear
but you got to be gentle 'cause it's fragile see
that means handle with care handle with care
heh reminisce on how i first met you
you remember -- backstage at my show
i thought that i was the star until i saw you
but i did not love her i did not love her
escapin from the crowd to be alone witchu
'cause i had oh so much to say
as we sat down in my dressin room girl huh
and just talked the entire night away
from that moment on i felt that i knew you
just like the back of my hand i love you i love you
loved you like i never loved another i loved you
and dreamt of bein your man

sung",1
